run_year,Annual,Females,Males,RatioF,Fry
2018,2458,1088,1370,0.44263629,
2017,795,373,422,0.46918239,734432
2016,1409,658,751,0.466997871,640149
2015,3182,2063,1119,0.648334381,440951
2014,2627,1744,883,0.663875143,523872
2013,5920,3680,2240,0.621621622,2481324
2012,2578,1498,1080,0.581070597,1814244
2011,738,491,247,0.665311653,996621
2010,1533,824,709,0.537508154,1572628
2009,4416,2722,1694,0.616394928,4972954
2008,2725,1462,1263,0.536513761,1371739
2007,2487,1550,937,0.623240852,1637804
2006,17149,8858,8291,0.516531576,7298838
2005,15730,9047,6683,0.575143039,8943194
2004,7784,3292,4492,0.422918808,3677989
2003,8105,5218,2887,0.643800123,5781519
2002,7325,5733,1592,0.782662116,7635469
2001,8085,5295,2790,0.654916512,
2000,1261,,,,
1999,3264,,,,
1998,2831,,,,
1997,836,,,,
1996,1012,,,,
1995,1159,,,,
1994,144,,,,
1993,369,,,,
1992,1159,,,,
1991,177,,,,
1990,384,,,,
1989,635,,,,
1988,2129,,,,
1987,2068,,,,
1986,2566,,,,
1985,3686,,,,
1984,2662,,,,
1983,1827,,,,
1982,1233,,,,
1981,19795,,,,
1980,1142,,,,
1979,2339,,,,
1978,24735,,,,
1977,16470,,,,
1976,33029,,,,
1975,22579,,,,
1974,21389,,,,
1973,22651,,,,
1972,35929,,,,
1971,53089,,,,
1970,40409,,,,
