"brood_year","Age2Hat","Age3Hat","Age4Hat"
1998,0,0,0
1999,0,0,0
2000,3.10907689345371,6.13123638213322,0
2001,1.08684965178206,2.0406552919157,0
2003,0,0,1.01515789473684
2004,0,1.36983301396113,0
2005,0,2.11078789487219,0
2006,3.34686330120004,0,0
2009,1.07864618996381,2.20033861625287,0
2010,0,0,0
2011,0,31.3055985788023,0
2012,65.4967367382424,60.6178964521471,0
2013,1.01409893585689,2.02221089253087,4.04893859648802
2014,65.0927447688402,70.0428882508716,0
2015,36.4367720474369,81.7696546314387,1
2016,6.06751828731893,70.8477208270634,0
2017,9.01057972850278,0,0
