Year,Sample Number,Age,Readage,Recovery Date,Fork Length (mm),Sex,CWT Code
2005,510085,2,2,7/14/2005,585,M,51974
2005,510097,3,0,7/17/2005,746,M,51298
2005,510101,0,3,4/29/2005,761,M,200000
2005,510114,3,0,5/15/2005,820,M,51296
2005,510115,3,0,5/20/2005,770,F,51364
2005,510140,0,2,5/29/2005,800,M,
2005,510145,0,2,5/30/2005,630,M,
2005,510148,2,2,5/30/2005,600,M,51985
2005,510155,0,3,6/4/2005,781,M,
2005,510159,3,2,6/5/2005,790,M,51290
2005,510170,0,3,6/10/2005,785,M,
2005,510171,0,2,6/10/2005,776,M,
2005,510194,0,3,6/13/2005,730,M,
2005,510199,0,3,6/13/2005,750,M,
2005,510201,0,3,6/13/2005,780,M,
2005,510202,3,2,6/13/2005,789,M,51282
2005,510207,0,0,6/14/2005,780,M,
2005,510217,0,2,6/14/2005,587,M,
2005,510220,0,2,6/14/2005,787,M,
2005,510225,0,3,6/16/2005,784,M,
2005,510227,0,3,6/16/2005,720,M,
2005,510241,0,2,6/17/2005,595,M,
2005,510253,0,0,6/19/2005,777,M,
2005,510267,0,3,6/20/2005,595,M,
2005,510274,0,2,6/21/2005,563,M,
2005,510279,0,3,6/22/2005,795,M,
2005,510281,0,3,6/22/2005,603,M,
2005,510293,0,3,6/24/2005,565,M,
2005,510301,0,2,6/23/2005,607,M,
2005,510304,0,2,6/23/2005,560,M,
2005,510309,0,2,6/23/2005,764,M,
2005,510312,0,3,6/23/2005,775,M,
2005,510314,0,3,6/23/2005,762,M,
2005,510345,0,3,6/26/2005,747,M,
2005,510353,0,2,6/27/2005,565,M,
2005,510356,0,3,6/28/2005,770,M,
2005,510363,0,2,6/28/2005,590,M,
2005,510364,0,2,6/28/2005,585,M,
2005,510370,0,2,6/28/2005,770,M,100000
2005,510373,3,2,6/29/2005,765,M,51278
2005,510375,3,3,6/29/2005,773,M,51372
2005,510403,0,0,6/26/2005,560,M,
2005,510411,0,2,6/26/2005,650,M,
2005,510430,3,0,6/30/2005,680,M,51366
