run_year,fishery,Location,Month,limit
1999,40,SF,8,20
2000,10,CO,7,26
2000,10,MO,6,26
2000,40,KC,8,20
2000,40,KO,8,20
2000,40,MO,6,20
2000,40,MO,7,20
2000,40,MO,8,20
2000,40,MO,9,20
2000,40,SF,4,24
2000,40,SF,6,20
2000,40,SF,7,20
2000,40,SF,8,20
2000,40,SF,10,20
2001,10,MO,5,26
2001,10,NO,9,26
2001,10,SF,7,27
2001,40,FB,7,20
2001,40,MO,3,24
2001,40,MO,4,24
2001,40,MO,5,24
2001,40,MO,7,20
2001,40,SF,6,24
2001,40,SF,7,20
2001,40,SF,8,20
2002,10,MO,7,26
2002,10,NO,5,28
2002,10,SF,6,26
2002,10,SF,7,26
2002,10,SF,8,26
2002,40,MO,5,20
2002,40,MO,6,20
2002,40,MO,7,20
2002,40,MO,8,20
2002,40,SF,5,20
2002,40,SF,6,20
2002,40,SF,7,20
2002,40,SF,8,20
2003,10,SF,6,26
2003,40,MO,3,24
2003,40,MO,7,20
2003,40,SF,5,20
2003,40,SF,6,20
2003,40,SF,7,20
2004,10,FB,7,27
2004,10,MO,5,26
2004,10,MO,6,26
2004,10,MO,7,27
2004,10,MO,8,27
2004,10,SF,5,26
2004,10,SF,6,26
2004,10,SF,7,27
2004,40,CO,7,20
2004,40,FB,7,20
2004,40,KC,8,20
2004,40,MO,4,24
2004,40,MO,5,20
2004,40,MO,6,20
2004,40,MO,7,20
2004,40,MO,8,20
2004,40,MO,9,20
2004,40,SF,4,24
2004,40,SF,5,20
2004,40,SF,6,20
2004,40,SF,7,20
2004,40,SF,8,20
2004,40,SF,10,20
2004,40,SF,11,20
2005,10,MO,5,27
2005,10,MO,6,27
2005,10,MO,7,28
2005,10,MO,8,28
2005,10,MO,9,27
2005,10,SF,7,28
2005,10,SF,8,28
2005,10,SF,9,27
2005,40,MO,4,20
2005,40,MO,5,20
2005,40,MO,6,20
2005,40,MO,7,20
2005,40,SF,4,20
2005,40,SF,5,20
2005,40,SF,6,20
2005,40,SF,7,20
2005,40,SF,8,20
2005,40,SF,9,20
2005,40,SF,11,20
2006,10,FB,9,27
2006,10,MO,5,27
2006,40,MO,4,20
2006,40,MO,6,20
2006,40,MO,7,20
2006,40,SF,6,20
2006,40,SF,7,20
2007,40,MO,5,20
2007,40,MO,6,20
2007,40,MO,7,20
2007,40,SF,5,20
2010,10,FB,8,27
2010,40,SF,7,24
2011,10,FB,8,27
2011,10,MO,5,27
2011,10,MO,6,27
2011,10,MO,8,27
2011,10,SF,8,27
2011,40,KO,5,24
2011,40,MO,4,24
2011,40,MO,6,24
2011,40,MO,7,24
2011,40,MO,8,24
2011,40,SF,6,24
2011,40,SF,7,24
2011,40,SF,8,24
2011,40,SF,9,24
2011,40,SF,10,24
2012,10,MO,8,27
2012,10,MO,9,26
2012,10,SF,7,27
2012,40,MO,7,20
2012,40,MO,8,20
2012,40,SF,6,24
2012,40,SF,7,20
2013,10,FB,7,27
2013,10,MO,6,27
2013,10,MO,7,27
2013,10,MO,8,27
2013,10,SF,8,27
2013,10,SF,10,26
2013,40,MO,6,24
2013,40,MO,7,24
2013,40,MO,8,24
2013,40,SF,5,24
2013,40,SF,7,24
2013,40,SF,10,20
2014,10,FB,8,27
2014,10,MO,7,27
2014,10,MO,8,27
2014,10,SF,8,27
2014,10,SF,9,26
2014,40,MO,4,24
2014,40,MO,5,24
2014,40,MO,7,24
2014,40,MO,8,24
2014,40,SF,6,24
2014,40,SF,7,20
2014,40,SF,8,20
2014,40,SF,9,20
2014,40,SF,10,20
2015,10,SF,5,27
2015,40,SF,7,20
2016,10,MO,6,27
2016,10,SF,8,27
2016,10,SF,9,26
2016,40,SF,4,24
2016,40,SF,5,20
2016,40,SF,7,20
2016,40,SF,8,20
2017,10,MO,5,27
2017,10,MO,6,27
2017,10,SF,8,27
2017,10,SF,10,26
2017,40,FB,8,20
2017,40,MO,4,24
2017,40,MO,5,24
2017,40,MO,7,24
2017,40,SF,5,20
2017,40,SF,6,20
2017,40,SF,7,20
2017,40,SF,8,20
2017,40,MO,8,24
2017,40,SF,9,20
2018,10,FB,7,26
2018,10,MO,5,26
2018,10,MO,6,26
2018,10,SF,7,26
2018,10,SF,8,26
2018,10,SF,9,26
2018,10,SF,10,26
2018,40,MO,4,24
2018,40,MO,5,24
2018,40,MO,6,24
2018,40,MO,7,24
2018,40,SF,6,20
2018,40,SF,7,20
2018,40,SF,9,20
2018,40,SF,10,20
2019,10,SF,6,27
2019,10,SF,7,27
2019,10,SF,8,27
2019,10,SF,9,27
2019,10,SF,10,27
2019,10,MO,5,27
2019,10,MO,6,27
2019,10,MO,7,27
2019,40,SF,4,24
2019,40,SF,5,20
2019,40,SF,6,20
2019,40,SF,7,20
2019,40,SF,8,20
2019,40,SF,9,20
2019,40,SF,10,20
2019,40,MO,4,24
2019,40,MO,5,24
2019,40,MO,6,24
2019,40,MO,7,24
2019,40,MO,8,24
