agency,sampling_site,area.1,area.2,area.code,catch.area,,
CDFO,0,NF,NORN,2MN57012        000,CANADA,,
CDFO,1,NF,NORN,2MS02023        000,CANADA,,
WDFW,1,NF,NORN,3M321  X1  X1,WA area 1 + OR area 61,,
ODFW,1,CO,NORN,5M22201  O1     10,Astoria - Troll,,
CDFO,2,NF,NORN,2MN57011        000,CANADA,,
WDFW,2,NF,NORN,3M321  X1  X1,WA area 1 + OR area 61,,
ODFW,3,NO,NORS,5M22203  O3     10,Garibaldi - Troll,,
WDFW,3,NF,NORN,3M32303,Washington - Marine area 3,,
ODFW,4,NO,NORS,5M22204  O4     30,"Newport (OFFSHORE, TRA",,
WDFW,4,NF,NORN,3M32303,Washington - Marine area 3,,
ODFW,5,NO,NORS,5M22205  O5     10,Depoe Bay Troll,,
WDFW,5,NF,NORN,3M32505,MARINE AREA  5  **TROLL ONLY,,
ODFW,6,NO,NORS,5M22206  O6     10,Newport Troll,,
WDFW,6,NF,NORN,3M32606  C,MARINE AREA  6C **TROLL ONLY,,
CDFO,7,NF,NORN,2MS02024        062,CANADA,,
CDFO,8,NF,NORN,2MS01025        067,CANADA,,
ODFW,8,CO,COS,5M22208  O8     10,Winchester Bay Troll,,
ODFW,9,CO,COS,5M22209  O9     10,Coos Bay Troll,,
ODFW,11,CO,COS,5M22211  O11    10,Port Orford Troll,,
WDFW,11,NF,NORN,3M42001  A,,,
ODFW,12,KO,KMZO,5M22212  O12    10,Gold Beach Troll,,
ODFW,12,KO,KMZO,5F22212  R12    32,ROGUE R ESTUARY,,
ODFW,13,KO,KMZO,5M22213  O13    10,Brookings Troll,,
CDFO,14,NF,NORN,2MS01027        000,CANADA,,
CDFO,15,NF,NORN,2MN0602W        190,CANADA,,
CDFO,18,NF,NORN,,CANADA,,
WDFW,21,NF,NORN,,,,
CDFO,27,NF,NORN,,CANADA,,
WDFW,31,NF,NORN,,,,
ODFW,46,CO,COS,5F22246  H46    21,NOBLE CR (STEP-COOS),,
ODFW,201,NF,NORN,5M2220201O0201  10,Astoria - Troll  Area 1,,
ODFW,202,NF,NORN,5M2220202O0202  10,Astoria - Troll  Area 2,,
ODFW,203,NF,NORN,5M2220203O0203  10,Astoria - Troll  Area 3,,
ODFW,204,NO,NORS,5M2220203O0204  10,Astoria - Troll  Area 4,,
ODFW,204,NO,NORS,5M2220204O0204  10,ASTORIA TROLL 4,,
ODFW,204,NO,NORS,5M2220204O      10,ASTORIA TROLL 4,,
ODFW,502,NF,NORN,5M2220502O0502  10,Marine area 5 - Troll2,,
ODFW,1001,NF,NORN,5M2221002O1001  10,Garibaldi Troll 1,,
ODFW,1002,NF,NORN,5M2221002O1002  10,Garibaldi Troll 2,,
ODFW,1003,NO,NORS,5M2221003O1003  10,Garibaldi Troll 3,,
ODFW,1004,NO,NORS,5M2221004O1004  10,Garibaldi Troll 4,,
ODFW,1005,CO,COS,5M2221005O1005  10,Garibaldi Troll 5,,
ODFW,1603,NO,NORS,5M2221603O1603  10,Pacific City Troll 3,,
ODFW,1604,NO,NORS,5M2221603O1604  11,Pacific City Sport 4,,
ODFW,2203,NO,NORS,5M2222203O2203  10,Depoe Bay Troll 3,,
ODFW,2204,NO,NORS,5M2222204O2204  10,Depoe Bay Troll 4,,
ODFW,2205,CO,COS,5M2222205O2205  10,Depoe Bay Troll 5,,
ODFW,2401,NF,NORN,5M2222401O2401  10,Newport Troll 1,,
ODFW,2402,NF,NORN,5M2222402O2402  10,Newport Troll 2,,
ODFW,2403,NO,NORS,5M2222403O2403  10,Newport Troll 3,,
ODFW,2404,NO,NORS,5M2222404O2404  10,Newport Troll 4,,
ODFW,2405,CO,COS,5M2222405O2405  10,Newport Troll 5,,
ODFW,2406,KO,KMZO,5M2222406O2406  10,Newport Troll 6,,
ODFW,3004,NO,NORS,5M2223004O3004  10,Siuslaw Bay Troll 4,,
ODFW,3005,CO,COS,5M2223005O3005  10,Siuslaw Bay Troll 5,,
ODFW,3006,KO,KMZO,5M2223006O3006  10,Siuslaw Bay Troll 6,,
ODFW,3202,NF,NORN,5M2223204O3202  10,Winchester Bay Troll 2,,
ODFW,3204,NO,NORS,5M2223204O3204  10,Winchester Bay Troll 4,,
ODFW,3205,CO,COS,5M2223205O3205  10,Winchester Bay Troll 5,,
ODFW,3206,KO,KMZO,5M2223206O3206  10,Winchester Bay Troll 6,,
ODFW,3403,NO,NORS,5M2223403O3403  10,Coos Bay Troll 3,,
ODFW,3404,NO,NORS,5M2223404O3404  10,Coos Bay Troll 4,,
ODFW,3405,CO,COS,5M2223405O3405  10,Coos Bay Troll 5,,
ODFW,3406,KO,KMZO,5M2223406O3406  10,Coos Bay Troll 6,,
ODFW,3407,KC,KMZC,5M2223407O3407  10,Coos Bay Troll 7,,
ODFW,3605,CO,COS,5M2223605O3605  10,Bandon Troll 5,,
ODFW,3805,CO,COS,5M2223805O3805  10,Port Orford Troll 5,,
ODFW,3806,KO,KMZO,5M2223806O3806  10,Port Orford Troll 6,,
ODFW,4006,KO,KMZO,5M2224006O4006  10,Gold Beach Troll 6,,
ODFW,4205,CO,COS,5M2224205O4205  10,Brookings Troll 5,,
ODFW,4206,KO,KMZO,5M2224206O4206  10,Brookings Troll 6,,
ODFW,4207,KC,KMZC,5M2224207O4207  10,Brookings Troll 7,,
ODFW,6020,KO,KMZO,5F22260  R60201218,LOBSTER CR UPR (ROGU,,
NMFS,39N,FB,FTB,7M1  39N 123W,7M1  39N 123W,,
NMFS,40N,KC,KMZC,7M1  40N 124W,7M1  40N 124W,,
NMFS,41N,KC,KMZC,7M1  41N 124W,7M1  41N 124W,,
NMFS,42N,KO,KMZO,7M1  42N 124W,7M1  42N 124W,,
NMFS,43N,CO,COS,7M1  43N 124W,7M1  43N 124W,,
NMFS,44N,NO,NORS,7M1  44N 124W,7M1  44N 124W,,
NMFS,45N,NO,NORS,7M1  45N 124W,7M1  45N 124W,,
NMFS,46N,NF,NORN,7M1  46N 124W,7M1  46N 124W,,
NMFS,47N,NF,NORN,7M1  47N 124W,7M1  47N 124W,,
NMFS,48N,NF,NORN,7M1  48N 124W,7M1  48N 124W,,
CDFW,AVI,MO,SOC5,,Point Sur - Mexico,,
CDFW,AVMA,MO,SOC5,,Point Sur - Mexico,,
CDFW,AVMO,MO,SOC4,,Pigeon Pt to Point Sur,,
CDFW,BER,SF,SOC2,,Pt Reyes to Pedro Pt,,
CDFW,BESF,SF,SOC2,,Pt Reyes to Pedro Pt,,
CDFW,BOD,SF,SOC1,,Pt Arena to Pt Reyes,,
CDFW,BOSF,SF,SOC1,,Pt Arena to Pt Reyes,,
CDFW,CRC,KC,KMZC,,CA/OR border to Horse Mtn,,
CDFW,CRCR,KC,KMZC,,CA/OR border to Horse Mtn,,
CDFW,CRD,KC,KMZC,,CA/OR border to Horse Mtn,,
CDFW,CRL,KC,KMZC,,CA/OR border to Horse Mtn,,
CDFW,EME,SF,SOC2,,Pt Reyes to Pedro Pt,,
CDFW,EUEU,KC,KMZC,,CA/OR border to Horse Mtn,,
