brood_year,Age,recdate,fishery,survey,numtags,Value_Expanded,cwtcode,headtag
1998,3,5/8/2001,54,Spawner,2.93,1.2883,501020905,Jan-06
1998,3,5/11/2001,54,Spawner,2.93,1.0152,501020902,Jan-20
1998,3,5/11/2001,54,Spawner,2.93,1.0526,501020908,Jan-21
1998,3,5/14/2001,54,Spawner,2.93,1.0309,501020904,Jan-30
1998,3,6/7/2001,54,Spawner,2.93,1.0695,501020906,Jan-57
1998,3,6/8/2001,54,Spawner,2.93,1.0417,501020911,Jan-15
1998,3,6/13/2001,54,Spawner,2.93,1.0205,501020913,Jan-12
1998,3,6/13/2001,54,Spawner,2.93,1.0205,501020913,Jan-90
1998,3,6/14/2001,54,Spawner,2.93,1.0471,501020814,Jan-47
1998,3,6/14/2001,54,Spawner,2.93,1.2883,501020905,Jan-61
1998,3,6/16/2001,54,Spawner,2.93,1.0153,501020901,Jan-97
1998,3,6/16/2001,54,Spawner,2.93,1.0526,501020908,Jan-84
1998,3,6/16/2001,54,Spawner,2.93,1.0869,501020811,Jan-96
1998,3,6/17/2001,54,Spawner,2.93,1.2883,501020905,Jan-22
1998,3,6/19/2001,54,Spawner,2.93,1.0416,501020909,Jan-45
1998,3,6/19/2001,54,Spawner,2.93,1.0417,501020911,Jan-77
1998,3,6/19/2001,54,Spawner,2.93,1.0153,501020815,Jan-85
1998,3,6/22/2001,54,Spawner,2.93,1.0695,501020906,Jan-34
1998,3,6/22/2001,54,Spawner,2.93,1.0869,501020811,Jan-48
1998,3,6/22/2001,54,Spawner,2.93,1.0869,501020811,Jan-53
1998,3,6/23/2001,54,Spawner,2.93,1.0869,501020811,Jan-16
1998,3,6/25/2001,54,Spawner,2.93,1.0309,501020904,Jan-36
1998,3,6/26/2001,54,Spawner,2.93,1.0471,501020814,Jan-68
1998,3,6/28/2001,54,Spawner,2.93,1.2883,501020905,Jan-05
1998,3,6/28/2001,54,Spawner,2.93,1.031,501020912,Jan-20
1998,3,6/28/2001,54,Spawner,2.93,1.0416,501020909,Jan-29
1998,3,6/29/2001,54,Spawner,2.93,1.2883,501020905,Jan-44
1998,3,7/1/2001,54,Spawner,2.93,1.0695,501020906,Jan-03
1998,3,7/1/2001,54,Spawner,2.93,1.031,501020912,Jan-04
1998,3,7/2/2001,54,Spawner,2.93,1.0363,501020813,Jan-76
1998,3,7/5/2001,54,Spawner,2.93,1.0695,501020906,Jan-50
1998,3,7/5/2001,54,Spawner,2.93,1.0869,501020811,Jan-51
1998,3,7/5/2001,54,Spawner,2.93,1.0153,501020815,Jan-63
1998,3,7/5/2001,54,Spawner,2.93,1.0526,501020908,Jan-64
1998,3,7/5/2001,54,Spawner,2.93,1.0051,501020914,Jan-66
1998,3,7/5/2001,54,Spawner,2.93,1.0309,501020904,Jan-93
1998,3,7/6/2001,54,Spawner,2.93,1.0526,501020908,Jan-47
1998,3,7/8/2001,54,Spawner,2.93,1.0417,501020911,Jan-88
1998,3,7/8/2001,54,Spawner,2.93,1.2883,501020905,Jan-02
1998,3,7/8/2001,54,Spawner,2.93,1.0869,501020811,Jan-30
1998,3,7/8/2001,54,Spawner,2.93,1.0416,501020909,Jan-37
1998,3,7/8/2001,54,Spawner,2.93,1.0309,501020904,Jan-45
1998,3,7/8/2001,54,Spawner,2.93,1.0051,501020914,Jan-87
