record_code,format_version,submission_date,reporting_agency,sampling_agency,recovery_id,species,run_year,recovery_date,recovery_date_type,period_type,period,fishery,gear,adclip_selective_fishery,estimation_level,recovery_location_code,sampling_site,recorded_mark,sex,weight,weight_code,weight_type,length,length_code,length_type,detection_method,tag_status,tag_code,tag_type,sequential_number,sequential_column_number,sequential_row_number,catch_sample_id,sample_type,sampled_maturity,sampled_run,sampled_length_range,sampled_sex,sampled_mark,estimated_number,recovery_location_name,record_origin,release_location_state,release_location_rmis_region,release_location_rmis_basin,hatchery_location_name,stock_location_name,brood_year,run,hatchery_location_code,stock_location_code,last_release_date_year
R,4.1,20060711,CDFW,CDFW,53846,1,2002,20020525,R,3,10,40,3,,3,6MO      PPPS,SCR,5000,,,,,577,0,1,V,1,501030207,3,,,,4015102002,1,,,,,,3.59,PIGEON PT.-POINT SUR,N,CA,SAFA,SACR,LIVINGSTON STONE HAT,SAC R AB FEATHER,2000,4,6FCSASAF LVNH,6FCSASAF,2001
R,4.1,20070411,USFWS,USFWS,Feb-48,1,2002,20020715,R,1,1,54,54,,6,6FCSASAF ABRB,BOAT,5000,M,,,,550,0,1,E,1,501030207,3,,,,200214,1,4,4,,,5000,1,SAC R AB RBDD,N,CA,SAFA,SACR,LIVINGSTON STONE HAT,SAC R AB FEATHER,2000,4,6FCSASAF LVNH,6FCSASAF,2001
R,4.1,20080312,USFWS,USFWS,03-22226,1,2003,20030617,R,1,1,54,54,,6,6FCSASAF ABRB,BOAT,5000,F,,,,720,0,1,E,1,501030207,3,,,,200314,1,4,4,,,5000,1,SAC R AB RBDD,N,CA,SAFA,SACR,LIVINGSTON STONE HAT,SAC R AB FEATHER,2000,4,6FCSASAF LVNH,6FCSASAF,2001
R,4.1,20080312,USFWS,USFWS,03-25621,1,2003,20030706,R,1,1,54,54,,6,6FCSASAF ABRB,BOAT,5000,F,,,,630,0,1,E,1,501030207,3,,,,200314,1,4,4,,,5000,1,SAC R AB RBDD,N,CA,SAFA,SACR,LIVINGSTON STONE HAT,SAC R AB FEATHER,2000,4,6FCSASAF LVNH,6FCSASAF,2001
R,4.1,20080312,USFWS,USFWS,03-25526,1,2003,20030717,R,1,1,54,54,,6,6FCSASAF ABRB,BOAT,5000,F,,,,790,0,1,E,1,501030207,3,,,,200314,1,4,4,,,5000,1,SAC R AB RBDD,N,CA,SAFA,SACR,LIVINGSTON STONE HAT,SAC R AB FEATHER,2000,4,6FCSASAF LVNH,6FCSASAF,2001
R,4.1,20080312,USFWS,USFWS,03-25596,1,2003,20030717,R,1,1,54,54,,6,6FCSASAF ABRB,BOAT,5000,F,,,,770,0,1,E,1,501030207,3,,,,200314,1,4,4,,,5000,1,SAC R AB RBDD,N,CA,SAFA,SACR,LIVINGSTON STONE HAT,SAC R AB FEATHER,2000,4,6FCSASAF LVNH,6FCSASAF,2001
R,4.1,20080312,USFWS,USFWS,03-22907,1,2003,20030729,R,1,1,54,54,,6,6FCSASAF ABRB,BOAT,5000,F,,,,720,0,1,E,1,501030207,3,,,,200314,1,4,4,,,5000,1,SAC R AB RBDD,N,CA,SAFA,SACR,LIVINGSTON STONE HAT,SAC R AB FEATHER,2000,4,6FCSASAF LVNH,6FCSASAF,2001
R,4.1,20070411,USFWS,USFWS,Feb-34,1,2002,20020710,R,1,1,54,54,,6,6FCSASAF ABRB,BOAT,5000,M,,,,540,0,1,E,1,501030308,3,,,,200214,1,4,4,,,5000,1,SAC R AB RBDD,N,CA,SAFA,SACR,LIVINGSTON STONE HAT,SAC R AB FEATHER,2000,4,6FCSASAF LVNH,6FCSASAF,2001
R,4.1,20070411,USFWS,USFWS,Feb-73,1,2002,20020716,R,1,1,54,54,,6,6FCSASAF ABRB,BOAT,5000,M,,,,520,0,1,E,1,501030308,3,,,,200214,1,4,4,,,5000,1,SAC R AB RBDD,N,CA,SAFA,SACR,LIVINGSTON STONE HAT,SAC R AB FEATHER,2000,4,6FCSASAF LVNH,6FCSASAF,2001
R,4.1,20070411,USFWS,USFWS,Feb-74,1,2002,20020716,R,1,1,54,54,,6,6FCSASAF ABRB,BOAT,5000,M,,,,530,0,1,E,1,501030308,3,,,,200214,1,4,4,,,5000,1,SAC R AB RBDD,N,CA,SAFA,SACR,LIVINGSTON STONE HAT,SAC R AB FEATHER,2000,4,6FCSASAF LVNH,6FCSASAF,2001
