"brood_year","Age1Hat","Age2Hat","Age3Hat","Age4Hat"
1998,0,0,0,0
1999,0,0,0,0
2000,0,3.10907689345371,6.13123638213322,0
2001,0,1.08684965178206,8.21375096827144,0
2002,0,0,3.12398878791596,1.02566693613581
2003,0,0,2.02028397565923,2.02012067389317
2004,0,0,7.05294100591121,0
2005,0,0,4.29056201558335,0
2006,1.08112676056338,3.34686330120004,6.23076840341983,0
2009,0,2.25824554524817,2.20033861625287,0
2010,1.06110403888439,0,0,2.13854692207649
2011,0,0,163.802366974574,0
2012,0,76.2825946023702,127.240586789775,0
2013,0,3.03630982838775,2.02221089253087,4.04893859648802
2014,5.1991225316428,107.300342554575,124.703390116787,0
2015,1.0166208527776,38.4700137529921,125.136268556538,1
2016,0,6.06751828731893,97.2370331159914,0
2017,0,9.01057972850278,0,0
