"brood_year","Age2Hat","Age3Hat","Age4Hat"
1998,0,0,0
1999,0,0,0
2001,0,6.17309567635574,0
2002,0,3.12398878791596,1.02566693613581
2003,0,2.02028397565923,1.00496277915633
2004,0,4.499657667976,0
2005,0,2.17977412071116,0
2006,0,6.23076840341983,0
2009,1.17959935528437,0,0
2010,0,0,2.13854692207649
2011,0,132.496768395772,0
2012,10.7858578641278,66.6226903376279,0
2013,2.02221089253087,0,0
2014,42.2075977857352,54.6605018659153,0
2015,2.0332417055552,43.366613925099,0
2016,0,26.389312288928,0
