"run_year","brood_year","Escapement_to_Hatchery","Age"
2002,2000,3.10907689345371,2
2003,2000,6.13123638213322,3
2003,2001,1.08684965178206,2
2004,2001,8.21375096827144,3
2005,2002,3.12398878791596,3
2006,2002,1.02566693613581,4
2006,2003,2.02028397565923,3
2007,2003,2.02012067389317,4
2007,2004,7.05294100591121,3
2007,2006,1.08112676056338,1
2008,2005,4.29056201558335,3
2008,2006,3.34686330120004,2
2009,2006,6.23076840341983,3
2011,2009,2.25824554524817,2
2011,2010,1.06110403888439,1
2012,2009,2.20033861625287,3
2014,2010,2.13854692207649,4
2014,2011,163.802366974574,3
2014,2012,76.2825946023702,2
2015,2012,127.240586789775,3
2015,2013,3.03630982838775,2
2015,2014,5.1991225316428,1
2016,2013,2.02221089253087,3
2016,2014,107.300342554575,2
2016,2015,1.0166208527776,1
2017,2013,4.04893859648802,4
2017,2014,124.703390116787,3
2017,2015,38.4700137529921,2
2018,2015,125.136268556538,3
2018,2016,6.06751828731893,2
2019,2015,1,4
2019,2016,97.2370331159914,3
2019,2017,9.01057972850278,2
