brood_year,Mat2Lower,Mat2Mean,Mat2Upper,Mat3Lower,Mat3Mean,Mat3Upper,Mat4Lower,Mat4Mean,Mat4Upper
2002,0,0,0,0.367514011,0.63656158,0.823685092,1,1,1
2003,0.113215272,0.233771381,0.340841905,0.861779166,0.88700013,0.9057619,1,1,1
2004,0.064178875,0.157248594,0.25066104,0.442864797,0.515156981,0.598001378,1,1,1
2005,0.030107776,0.049509957,0.070938203,0.709137931,0.76995112,0.837649441,1,1,1
2006,0.018127474,0.032818708,0.049431381,0.797468721,0.820531074,0.845936367,1,1,1
2007,0.001893453,0.037466539,0.080654197,0.560838044,0.677314414,0.766606822,1,1,1
2008,0.002668602,0.022091758,0.050246071,0.323803532,0.501604383,0.700569948,1,1,1
2009,0.00965497,0.018587132,0.028930733,0.635794469,0.731951165,0.833796322,1,1,1
2010,0.012756049,0.021722036,0.03046838,0.825424301,0.86028,0.890619427,1,1,1
2011,0.000195187,0.02080279,0.04797313,0.875054342,0.946047722,0.999003204,1,1,1
2012,0.019544696,0.030676687,0.043019991,0.856388462,0.912177087,0.958807384,1,1,1
2013,4.76289E-06,0.026287293,0.067426569,0.748800241,0.809205396,0.854785146,1,1,1
2014,0.403462627,0.609236989,0.816944258,0.264502935,0.685874386,0.999785167,1,1,1
2015,2.56123E-16,0.030269238,0.074570049,1,1,1,1,1,1
