"","Run_Year","Reduction_Lower","Reduction","Reduction_Upper","Origin"
"1",2006,0.761034828111572,0.788388849371819,0.815125041167657,"Hatchery_wNoFuncertainty"
"2",2007,0.610448994742994,0.717558831256106,0.791614763162368,"Hatchery_wNoFuncertainty"
"3",2008,0.716067016289568,0.846349528484543,0.932279379605011,"Hatchery_wNoFuncertainty"
"4",2009,1,1,1,"Hatchery_wNoFuncertainty"
"5",2010,0.951485374828751,0.986496605376679,0.993823759361543,"Hatchery_wNoFuncertainty"
"6",2011,0.811359078248435,0.929282579459884,0.972872877072626,"Hatchery_wNoFuncertainty"
"7",2012,0.583322069331465,0.660754552245675,0.713638805109856,"Hatchery_wNoFuncertainty"
"8",2013,0.825294090262603,0.881855261146907,0.927191642766188,"Hatchery_wNoFuncertainty"
"9",2014,0.76919119482648,0.816726606773891,0.855280524641422,"Hatchery_wNoFuncertainty"
"10",2015,0.768401832393049,0.824455858746599,0.86854892299706,"Hatchery_wNoFuncertainty"
"11",2016,0.964496090571374,0.983397561548945,0.992821532593128,"Hatchery_wNoFuncertainty"
"12",2006,0.735047044907207,0.775619441850402,0.807664588206224,"Natural"
"13",2007,0.646506524112398,0.749532800731793,0.816668982707323,"Natural"
"14",2008,0.647591491441258,0.781604662984879,0.881724152753695,"Natural"
"15",2009,0.952564626307012,0.97844353389489,0.99225453954689,"Natural"
"16",2010,1,1,1,"Natural"
"17",2011,0.590393627887382,0.85652334873833,0.949976898581679,"Natural"
"18",2012,0.521265998057881,0.639136810684796,0.709288564759587,"Natural"
"19",2013,0.757255225600354,0.828504951478025,0.882987694495561,"Natural"
"20",2014,0.694963573807112,0.756526189251549,0.808950729055524,"Natural"
"21",2015,0.760758745008337,0.818008548696845,0.865268930272535,"Natural"
"22",2016,0.904588209548784,0.947095527945312,0.972563182735967,"Natural"
